Configuration,grade1,grade2,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'scatter']",0.33267,255.5971,11.5971,85.0286,74.81374,8.25688,170.0,74.0,23.68276
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '2', 'scatter']",0.25996,279.25587,5.25587,72.59656,132.67428,8.25686,196.0,78.0,13.23688
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '3', 'scatter']",0.23731,268.46721,9.46721,63.70979,76.7865,8.25689,181.0,78.0,22.93821
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '4', 'scatter']",0.32668,274.57315,13.57315,89.69864,78.91135,8.25691,183.0,78.0,22.4532
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '19', '2', 'scatter']",0.12906,222.8145,4.8145,28.75702,52.68517,8.25683,143.0,75.0,33.62938
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '19', '3', 'scatter']",0.24392,226.02021,6.02021,55.13025,66.89173,8.25684,150.0,70.0,26.48721
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '19', '4', 'scatter']",0.3003,229.02607,9.02607,68.77641,59.00255,8.25685,152.0,68.0,30.02887
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '38', '2', 'scatter']",0.22329,245.85178,4.85178,54.89696,100.63654,8.25684,169.0,72.0,17.60572
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '38', '3', 'scatter']",0.27433,254.72245,7.72245,69.8786,84.5926,8.25686,173.0,74.0,20.94494
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '38', '4', 'scatter']",0.33129,256.59793,11.59793,85.00922,74.77011,8.25688,171.0,74.0,23.69657
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll ', '', '57', '2', 'scatter']",0.25984,280.23978,5.23978,72.817,133.09941,8.25686,197.0,78.0,13.1946
