Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'scatter']",119.034,5.034,0.8139,0.0736,2.2606,102.0,57.0,"[0.6047129, 0.5985546, 0.5406754, 0.5921394]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'scatter']",119.2159,5.2158,1.0841,0.075,2.2675,100.0,57.0,"[0.5415959, 0.6107757, 0.5888277, 0.5604246]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'scatter']",118.7604,4.7604,0.6,0.0769,2.2607,123.0,57.0,"[0.5534563, 0.5799887, 0.5175523, 0.5833882]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'scatter']",119.2745,5.2745,0.6554,0.0588,2.2759,101.0,57.0,"[0.7292915, 0.7386149, 0.7512971, 0.7298541]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'scatter']",117.4945,5.4944,0.8889,0.0575,2.2867,100.0,56.0,"[0.7335028, 0.779168, 0.788975, 0.7331827]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '2', 'balanced']",116.2157,4.2157,0.4229,0.0727,2.2409,100.0,56.0,"[0.6090725, 0.5167772, 0.5898439, 0.6246056]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '3', 'balanced']",118.7695,4.7695,0.4174,0.0732,2.2413,100.0,57.0,"[0.6151971, 0.5522789, 0.6016604, 0.5551279]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '19', '4', 'balanced']",117.0147,5.0147,0.435,0.073,2.2418,100.0,56.0,"[0.5745124, 0.5506242, 0.5864019, 0.6181992]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '2', 'balanced']",118.6418,4.6418,0.434,0.0756,2.2417,100.0,57.0,"[0.5652921, 0.5430967, 0.5912018, 0.5516227]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '3', 'balanced']",117.0378,5.0378,0.4092,0.0731,2.2425,104.0,56.0,"[0.6299964, 0.5827652, 0.574069, 0.5431845]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '38', '4', 'balanced']",119.1869,5.1868,0.5035,0.0758,2.2435,102.0,57.0,"[0.5377215, 0.5659046, 0.5709926, 0.5723189]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '2', 'balanced']",118.7449,4.7449,0.4383,0.078,2.2425,101.0,57.0,"[0.5396789, 0.5283728, 0.5444917, 0.570673]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '3', 'balanced']",119.2556,5.2556,0.4408,0.0782,2.2757,101.0,57.0,"[0.568579, 0.5397771, 0.5551065, 0.5516733]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll ', '', '57', '4', 'balanced']",119.4177,5.4177,0.4092,0.0578,2.2867,100.0,57.0,"[0.7560685, 0.7205815, 0.7781818, 0.7628045]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'scatter']",116.2188,4.2188,0.5925,0.0768,2.2469,100.0,56.0,"[0.5775374, 0.5215309, 0.5682096, 0.5532782]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'scatter']",116.7521,4.7521,0.7974,0.0725,2.2503,100.0,56.0,"[0.6097021, 0.5719738, 0.5686998, 0.6079373]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'scatter']",117.0061,5.0061,0.9793,0.0679,2.2538,102.0,56.0,"[0.6245013, 0.6390172, 0.6188574, 0.6380381]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",118.6161,4.6161,0.5489,0.0711,2.2538,119.0,57.0,"[0.6151957, 0.6136066, 0.5707954, 0.6073473]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",119.05,5.05,0.8334,0.0751,2.2606,101.0,57.0,"[0.5806525, 0.5841283, 0.5736809, 0.5510782]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'scatter']",121.2171,5.2171,1.1216,0.0773,2.2675,120.0,58.0,"[0.5520001, 0.5266777, 0.6026139, 0.550946]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '2', 'scatter']",118.7692,4.7692,0.5675,0.0735,2.2607,125.0,57.0,"[0.5530824, 0.593481, 0.5917896, 0.5996316]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '3', 'scatter']",119.2134,5.2134,0.7407,0.0665,2.2759,101.0,57.0,"[0.7445139, 0.573449, 0.5568888, 0.7296179]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '4', 'scatter']",119.482,5.482,0.8998,0.058,2.2867,100.0,57.0,"[0.7580031, 0.761204, 0.758429, 0.7293717]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'balanced']",118.213,4.213,0.4443,0.0788,2.2409,100.0,57.0,"[0.5901143, 0.5190697, 0.5198481, 0.5289053]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'balanced']",118.8297,4.8297,0.3849,0.0687,2.2413,105.0,57.0,"[0.5777683, 0.6523692, 0.6224301, 0.6229132]"
