Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",162.3387,4.3387,0.4,0.2402,2.2745,119.0,79.0,"[14.05028, 13.85659, 14.30707, 14.54531]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",157.1366,5.1366,0.9792,0.2298,2.3012,119.0,76.0,"[14.93189, 15.36858, 15.07913, 14.79317]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",157.3957,5.3957,1.9862,0.2295,2.3401,119.0,76.0,"[15.40938, 15.32251, 15.33467, 15.37868]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",156.6238,4.6238,0.5731,0.2566,2.324,131.0,76.0,"[13.39483, 13.53535, 13.90051, 13.73165]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",159.2254,5.2254,1.4206,0.2562,2.3746,134.0,77.0,"[14.002, 14.05559, 14.09672, 13.9655]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",163.4045,5.4045,3.2833,0.2554,2.4475,136.0,79.0,"[14.46294, 14.7645, 14.56259, 14.52377]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",164.7543,4.7543,0.6861,0.2603,2.3666,145.0,80.0,"[13.66726, 13.70483, 13.8522, 13.62004]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",167.3119,5.3119,1.8357,0.2593,2.4466,150.0,81.0,"[15.48957, 14.08012, 13.81175, 14.03112]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",169.5719,5.5719,4.6495,0.273,2.5525,156.0,82.0,"[14.17259, 15.38392, 13.83509, 14.07264]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",162.3583,4.3583,0.3438,0.2375,2.2746,119.0,79.0,"[14.2805, 13.94784, 14.95055, 14.24514]"
