Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'scatter']",160.9504,6.9504,51.4115,37.0369,6.6938,167.0,77.0,"[13.18896, 12.89181, 13.58568, 13.53027]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '3', 'scatter']",168.0932,8.0932,94.0947,47.2279,6.6939,177.0,80.0,"[10.34984, 10.57207, 10.37068, 10.42576]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '4', 'scatter']",171.2212,9.2212,139.5222,51.7485,6.6939,186.0,81.0,"[9.547643, 9.511584, 9.538544, 9.476582]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '2', 'scatter']",168.7756,6.7756,68.492,49.2898,6.6939,197.0,81.0,"[9.997481, 9.732842, 9.89173, 10.03766]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '3', 'scatter']",174.2827,8.2827,120.325,60.4316,6.6956,207.0,83.0,"[8.002038, 8.042375, 8.080965, 8.275772]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '57', '4', 'scatter']",174.6885,8.6885,170.3069,63.063,6.6939,217.0,83.0,"[7.652731, 8.004846, 7.768355, 7.8176]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '2', 'balanced']",165.2187,7.2187,28.6826,20.6015,6.6939,143.0,79.0,"[24.05344, 23.14061, 26.06898, 22.37203]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '3', 'balanced']",156.4399,8.4399,49.289,24.7763,6.6939,145.0,74.0,"[20.76068, 19.28772, 20.09283, 19.38017]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '19', '4', 'balanced']",157.5993,9.5993,77.4566,28.7292,6.6939,148.0,74.0,"[17.09676, 17.43883, 16.93891, 17.106]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=1 ', '-unroll=0 ', '', '38', '2', 'balanced']",160.8981,6.8981,54.1513,38.9783,6.6938,166.0,77.0,"[12.09065, 13.26567, 12.91705, 12.27375]"
