Configuration,grade1,CPI,BW/s((GB/sec),GFLOPS/s,Vectorization,Power(W),Temperature(C),Time(sec)
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores never ', '', '-unroll ', '', '57', '4', 'balanced']",181.116,17.116,18.7791,13.2327,3.0645,171.0,82.0,"[19.86142, 21.14836, 19.82869, 19.77284]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'scatter']",174.7739,18.7739,0.7893,1.9056,2.1262,130.0,78.0,"[93.31338, 88.20545, 87.18799, 85.41999]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'scatter']",165.9925,19.9925,2.089,2.6052,2.1329,128.0,73.0,"[62.40739, 65.11223, 70.27039, 64.00989]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'scatter']",170.314,24.314,5.3421,3.3261,2.1397,129.0,73.0,"[51.69281, 52.3072, 51.44743, 51.81866]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '2', 'scatter']",165.3417,15.3417,1.6528,4.1794,2.1397,148.0,75.0,"[39.70066, 43.04568, 39.50957, 42.69028]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '3', 'scatter']",173.2774,19.2774,4.4718,5.783,2.1527,153.0,77.0,"[29.98302, 30.23071, 31.04377, 30.45949]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '38', '4', 'scatter']",176.056,20.056,10.8074,6.8814,2.1655,156.0,78.0,"[26.06178, 26.46567, 26.01631, 25.87178]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '2', 'scatter']",175.4305,13.4305,2.3939,5.9931,2.1527,158.0,81.0,"[29.3875, 30.45729, 28.39343, 28.19085]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '3', 'scatter']",181.4774,15.4774,6.2366,8.0296,2.1718,165.0,83.0,"[22.60486, 22.74107, 22.90529, 21.61783]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '57', '4', 'scatter']",180.4539,16.4539,15.5819,10.0628,2.1897,181.0,82.0,"[18.25683, 19.52786, 18.2538, 18.25152]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '2', 'balanced']",176.2227,18.2227,0.7717,1.8908,2.1262,130.0,79.0,"[90.67619, 87.82277, 86.78369, 91.60691]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '3', 'balanced']",166.4936,20.4936,2.1249,2.6749,2.1329,129.0,73.0,"[61.81704, 64.599, 66.79074, 61.77667]"
"['-O2 ', '-opt-prefetch=0 ', '-opt-streaming-stores always ', '-opt-streaming-cache-evict=0 ', '-unroll=0 ', '', '19', '4', 'balanced']",172.4093,24.4093,5.3503,3.3959,2.1397,130.0,74.0,"[50.63229, 50.56312, 50.72728, 51.08063]"
